"id","date","done","elapsed_time","juridically_equivalent","original_text_comment","preference","reviewer","simplified_text_comment","variant","article_id"
"16","2024-12-01 13:47:32.142674","1","220","3","Giuridicamente più orecchiabile, anche se alcune frasi un pò vetuste","simplified","Jurist2","la prima frase del testo A è leggermente divergente dalla prima frase del testo B","BASIC","8"
"17","2024-12-01 14:49:28.631232","1","66","4",NULL,"simplified","Jurist1",NULL,"CHAIN","9"
"18","2024-12-01 14:25:02.268029","1","114","4",NULL,"simplified","Jurist2",NULL,"BASIC","9"
"19","2024-12-01 13:46:48.451595","1","448","4","Il testo A ha forma e linguaggio giuridico più puntuale.","original","Jurist1","Il testo B riporta costruzioni linguistiche errate (primo e terzo paragrafo), oltre che un linguaggio giuridicamente meno puntuale del testo A.   ","CHAIN","10"
"20","2024-12-01 13:52:22.347988","1","206","4",NULL,"original","Jurist2",NULL,"BASIC","10"
"21","2024-12-01 14:48:21.176755","1","130","4",NULL,"original","Jurist1",NULL,"CHAIN","11"
"22","2024-12-01 13:38:45.136124","1","252","3","è il testo originale","simplified","Jurist2","giuridicamente un pò impreciso","BASIC","11"
"23","2024-12-01 14:13:58.011808","1","283","4",NULL,"simplified","Jurist1",NULL,"CHAIN","12"
"24","2024-12-01 14:47:28.710190","1","400","4",NULL,"original","Jurist2",NULL,"BASIC","12"
"25","2024-12-01 14:09:12.713181","1","651","3","Il testo A ha un linguaggio giuridicamente meno appropriato; il riferimento ad ogni intervento in maniera impersonale, senza alcun riferimento ai soggetti tenuti (""soggetti responsabili""), potrebbe ingenerare confusione.  ","simplified","Jurist1","Il testo A ha un linguaggio giuridico più appropriato e prevede, per ogni intervento, il riferimento ai soggetti tenuti (""soggetti responsabili"").","CHAIN","13"
"26","2024-12-01 14:48:41.118155","1","71","4",NULL,"simplified","Jurist2",NULL,"BASIC","13"
"27","2024-12-01 13:58:20.561399","1","46","4",NULL,"simplified","Jurist1",NULL,"BASIC","14"
"28","2024-12-01 14:53:23.608286","1","31","4",NULL,"original","Jurist2",NULL,"CHAIN","14"
"29","2024-12-01 14:18:00.372180","1","239","3",,"simplified","Jurist1","Sebbene più comprensibile, il testo B non ha la forma di un testo giuridico. ","BASIC","15"
"30","2024-12-01 14:34:47.469376","1","48","4",NULL,"simplified","Jurist2",NULL,"CHAIN","15"
"31","2024-12-01 14:57:07.184797","1","107","3",NULL,"simplified","Jurist1","Si segnala una difformità giuridicamente rilevante tra i due testi: strada/via pubblica. ","BASIC","16"
"32","2024-12-01 13:41:19.579867","1","140","4",NULL,"simplified","Jurist2",NULL,"CHAIN","16"
"33","2024-12-01 14:43:07.525323","1","348","3",NULL,"original","Jurist1","Si segnalano alcune difformità giuridiche tra i due testi: 1. proprietario/interessati; 2. lavori/opere; 3. 30gg/un mese. ","BASIC","17"
"34","2024-12-01 13:34:19.271547","1","175","4",NULL,"simplified","Jurist2",NULL,"CHAIN","17"
"35","2024-12-01 14:59:57.270510","1","169","3",NULL,"original","Jurist1","Il testo B ha un linguaggio giuridico meno appropriato. Si segnala l'assenza del riferimento alla detenzione a qualsiasi titolo degli animali selvatici, sia autoctoni che alloctoni. ","BASIC","18"
"36","2024-12-01 14:38:36.382665","1","94","4",NULL,"simplified","Jurist2",NULL,"CHAIN","18"
"37","2024-12-01 13:39:19.116373","1","466","3","Il testo A utilizza un linguaggio giuridico più puntuale. ","simplified","Jurist1",NULL,"BASIC","19"
"38","2024-12-01 14:33:58.215628","1","111","4","giuridicamente migliore","simplified","Jurist2",NULL,"CHAIN","19"
"39","2024-12-01 14:37:17.909127","1","137","4",NULL,"simplified","Jurist1",NULL,"BASIC","20"
"40","2024-12-01 14:18:47.640172","1","145","4",NULL,"simplified","Jurist2",NULL,"CHAIN","20"
"41","2024-12-01 14:35:00.015683","1","372","2",NULL,"simplified","Jurist1","Sebbene più comprensibile, il testo B riporta delle imprecisioni. Ad esempio, nel prevedere che ""i bambini con handicap che non sono stati inseriti nella graduatoria entro i termini di legge saranno ammessi immediatamente al nido, sempre superando del 15% la capienza"", omette il rilevante riferimento alla figura responsabile del ""Direttore educativo"".","BASIC","21"
"42","2024-12-01 14:51:54.487216","1","88","3",NULL,"original","Jurist2",NULL,"CHAIN","21"
"43","2024-12-01 14:55:19.537636","1","204","4",NULL,"simplified","Jurist1","Il testo B, sebbene più comprensibile, ha un linguaggio giuridico meno appropriato del testo A. ","BASIC","22"
"44","2024-12-01 14:36:59.568284","1","58","4","migliore","simplified","Jurist2",NULL,"CHAIN","22"
"45","2024-12-01 14:24:35.801139","1","394","2",,"simplified","Jurist1","Il testo B non ha linguaggio giuridico appropriato; il riferimento alla multa invece che alla sanzione amministrativa pecuniaria è giuridicamente errato. ","BASIC","23"
"46","2024-12-01 15:04:07.562168","1","443","1",NULL,"original","Jurist2","Il testo non ha senso in svariati punti","CHAIN","23"
"47","2024-12-01 14:26:01.322397","1","84","4",NULL,"simplified","Jurist1",NULL,"BASIC","24"
"48","2024-12-01 14:23:07.180724","1","190","3",NULL,"simplified","Jurist2","meno preciso nel significato giuridico","CHAIN","24"
"49","2024-12-01 15:09:52.611935","1","115","2",NULL,"simplified","Jurist1","Rispetto al testo A manca del tutto l'inciso ""nonché la percentuale di copertura dei costi di gestione dei servizi pubblici a domanda individuale in essa indicata"". ","BASIC","25"
"50","2024-12-01 14:50:12.311033","1","68","4",NULL,"simplified","Jurist2",NULL,"CHAIN","25"
"51","2024-12-01 15:14:19.583204","1","266","3",NULL,"simplified","Jurist1","Si segnala la seguente difformità giuridicamente rilevante tra i due testi: aperti al pubblico/uso pubblico.  ","BASIC","26"
"52","2024-12-01 14:52:51.621048","1","52","4",NULL,"simplified","Jurist2",NULL,"CHAIN","26"
"53","2024-12-07 11:49:04.072972","1","136","4",NULL,"simplified","Jurist1",NULL,"CHAIN","27"
"54","2024-12-07 18:15:57.689559","1","206","3","giuridicamente più corretto","simplified","Jurist2",NULL,"BASIC","27"
"55","2024-12-07 12:19:03.254258","1","180","4",NULL,"original","Jurist1",NULL,"CHAIN","28"
"56","2024-12-07 17:50:06.314183","1","139","3",NULL,"simplified","Jurist2","un po' impreciso in alcuni termini giuridici","BASIC","28"
"57","2024-12-07 11:41:23.280014","1","282","3",,"simplified","Jurist1","Si segnala la frase: “In ambito urbano, i cavi aerei per le reti elettriche e di telecomunicazione devono avere un'altezza minima da terra di mt. 5,00, ai sensi dell'articolo 2.1.06 del Decreto Ministeriale 2”, in cui il verbo “dovere” al posto del termine “aventi” ne cambia il significato giuridico rispetto alla corrispondente previsione del testo A.  ","CHAIN","29"
"58","2024-12-07 16:12:43.708835","1","451","2",NULL,"original","Jurist2","Traduzione che travisa il significato. Il testo giuridico è più preciso. ","BASIC","29"
"59","2024-12-07 15:47:10.249217","1","76","4",NULL,"simplified","Jurist1",NULL,"CHAIN","30"
"60","2024-12-07 18:04:46.897126","1","22","4",NULL,"simplified","Jurist2",NULL,"BASIC","30"
"61","2024-12-07 15:51:08.773036","1","169","4",NULL,"simplified","Jurist1",NULL,"CHAIN","31"
"62","2024-12-07 18:00:00.491332","1","203","3",NULL,"simplified","Jurist2","leggermente impreciso","BASIC","31"
"63","2024-12-07 11:54:14.354919","1","309","3",NULL,"simplified","Jurist1","Nella pur apprezzabile operazione di semplificazione del testo B vengono, tuttavia, sostituiti anche termini tecnici necessari ( es. combustione/bruciare; porzione ipogea ed epigea/parte sotterranea e a quella sopraelevata) ","CHAIN","32"
"64","2024-12-07 17:51:54.961924","1","107","4",NULL,"original","Jurist2",NULL,"BASIC","32"
"65","2024-12-07 15:19:25.522617","1","47","4",NULL,"simplified","Jurist1",NULL,"CHAIN","33"
"66","2024-12-07 18:08:56.125966","1","48","3",NULL,"simplified","Jurist2","leggermente impreciso","BASIC","33"
"67","2024-12-07 15:48:18.512303","1","67","4",NULL,"simplified","Jurist1",NULL,"CHAIN","34"
"68","2024-12-07 17:42:02.112630","1","159","4",NULL,"simplified","Jurist2",NULL,"BASIC","34"
"69","2024-12-07 15:28:45.867986","1","216","3",NULL,"simplified","Jurist1","Il testo B utilizza un linguaggio giuridico non appropriato. Si segnala, nel testo B, l'omesso riferimento al possesso e alla detenzione "" a qualsiasi titolo"", omissione che rischia di alterare il contesto giuridico. ","CHAIN","35"
"70","2024-12-07 17:39:21.311945","1","627","3",NULL,"simplified","Jurist2","impreciso ","BASIC","35"
"71","2024-12-07 12:04:52.467492","1","531","3",NULL,"simplified","Jurist1","Il testo A utilizza un linguaggio poco tecnico che, in alcuni casi, rischia di incidere sul significato giuridico (es. gestione esclusiva, invece del tipico regime di privativa; )","CHAIN","36"
"72","2024-12-07 18:06:11.499382","1","83","4",NULL,"simplified","Jurist2",NULL,"BASIC","36"
"73","2024-12-07 11:45:33.318243","1","249","4",NULL,"simplified","Jurist1",NULL,"CHAIN","37"
"74","2024-12-07 18:08:06.335049","1","65","4",NULL,"original","Jurist2",NULL,"BASIC","37"
"75","2024-12-07 15:21:40.371137","1","133","4",NULL,"simplified","Jurist1",NULL,"CHAIN","38"
"76","2024-12-07 16:13:43.011463","1","58","4",NULL,"simplified","Jurist2",NULL,"BASIC","38"
"77","2024-12-07 16:01:57.354670","1","476","4",NULL,"simplified","Jurist1","Il testo A, sebbene effettivamente più comprensibile, presenta linguaggio e costruzioni non comuni nel contesto giuridico (ad es. l'uso del plurale ""vietiamo"" invece dell'impersonale ""è vietato""). ","CHAIN","39"
"78","2024-12-07 18:04:23.054415","1","98","4",NULL,"simplified","Jurist2",NULL,"BASIC","39"
"79","2024-12-07 12:16:01.150723","1","262","3",NULL,"simplified","Jurist1","Il testo A presenta linguaggio giuridico poco appropriato. Si segnala, inoltre, che il testo A, a differenza del testo B, omette di evidenziare il carattere non esaustivo dell’elencazione. ","BASIC","40"
"80","2024-12-07 17:56:35.550815","1","108","4",NULL,"simplified","Jurist2",NULL,"CHAIN","40"
"81","2024-12-07 12:33:46.697188","1","339","3",NULL,"simplified","Jurist1","Nella sua eccessiva semplificazione, il testo B tralascia riferimenti giuridici significativi (es. art. 2188, contratto collettivo nazionale di settore, Decreto del Ministro delle Infrastrutture e dei Trasporti 23 dicembre 2003) ","BASIC","41"
"82","2024-12-07 18:02:01.859665","1","75","4",NULL,"simplified","Jurist2",NULL,"CHAIN","41"
"83","2024-12-07 15:45:52.876215","1","294","3",NULL,"simplified","Jurist1","Il testo ha adotta un linguaggio tecnicamente e giuridicamente poco appropriato. La semplificazioni di alcuni concetti giuridici (ad esempio la traduzione della ""disponibilità"" dei mezzi in "" proprietà"") rischia di comprometterne il significato giuridico. ","BASIC","42"
"84","2024-12-07 17:47:45.801932","1","172","4",NULL,"simplified","Jurist2",NULL,"CHAIN","42"
"85","2024-12-07 12:06:14.375944","1","81","3",NULL,"simplified","Jurist1","Si segnala l’assenza nel testo A della frase “Indipendentemente dall'osservanza di quanto sopra riportato”, utile a contestualizzare la disposizione. ","BASIC","43"
"86","2024-12-07 18:00:45.370825","1","43","4",NULL,"simplified","Jurist2",NULL,"CHAIN","43"
"87","2024-12-07 15:37:14.375102","1","96","4",NULL,"simplified","Jurist1",NULL,"BASIC","44"
"88","2024-12-07 17:54:46.154663","1","91","3","leggermente impreciso","simplified","Jurist2",NULL,"CHAIN","44"
"89","2024-12-07 12:08:18.106105","1","122","2",,"simplified","Jurist1","Si segnala la rilevante assenza rispetto al testo A del riferimento al carattere solidale dell’obbligazione. ","BASIC","45"
"90","2024-12-07 18:02:43.766731","1","40","4",NULL,"simplified","Jurist2",NULL,"CHAIN","45"
"91","2024-12-07 12:36:56.555030","1","188","3",,"simplified","Jurist1","Il testo B presenta linguaggio non tecnico e  giuridicamente poco appropriato. ","BASIC","46"
"92","2024-12-07 17:44:51.870143","1","168","4",NULL,"simplified","Jurist2",NULL,"CHAIN","46"
"93","2024-12-07 15:53:29.186014","1","139","4","Si segnala l'eliminazione della seconda voce. ","simplified","Jurist1",NULL,"BASIC","47"
"94","2024-12-07 16:19:48.055053","1","339","3",NULL,"original","Jurist2","Non si comprende l'eliminazione della voce. ","CHAIN","47"
"95","2024-12-07 15:35:36.630229","1","298","3",NULL,"simplified","Jurist1","Il testo A contiene un linguaggio tecnicamente e giuridicamente meno appropriato. Si segnalano tra i due testi alcune difformità (es. ""permanenti, semipermanenti o in precario"", presente solo nel testo B). ","BASIC","48"
"96","2024-12-07 17:53:13.988689","1","77","4",NULL,"simplified","Jurist2",NULL,"CHAIN","48"
"97","2024-12-07 12:22:21.354997","1","154","3",NULL,"simplified","Jurist1","Il testo B, sebbene più chiaro, non presenta linguaggio giuridico appropriato.","BASIC","49"
"98","2024-12-07 18:12:30.027558","1","41","4",NULL,"simplified","Jurist2",NULL,"CHAIN","49"
"99","2024-12-07 12:28:06.607678","1","124","3","Il testo B presenta linguaggio giuridico più appropriato. ","simplified","Jurist1",NULL,"BASIC","50"
"100","2024-12-07 18:11:47.986422","1","64","4",NULL,"simplified","Jurist2",NULL,"CHAIN","50"
"101","2024-12-07 12:39:00.008451","1","122","3",NULL,"simplified","Jurist1","Il testo A presenta linguaggio tecnico e giuridico poco appropriato. ","BASIC","51"
"102","2024-12-07 18:10:42.081127","1","105","4",NULL,"original","Jurist2",NULL,"CHAIN","51"
"103","2024-12-07 12:44:10.513206","1","175","4",NULL,"simplified","Jurist1","Il testo B presenta costruzioni grammaticali non frequenti nel linguaggio giuridico (es. chi svolge…non può; chi vende…ha bisogno). ","BASIC","52"
"104","2024-12-07 18:07:00.112421","1","47","4",NULL,"simplified","Jurist2",NULL,"CHAIN","52"
